Alpha,1.0,0.5,0.25,0.125,0.125,0.0625
Chain,0.4,0.209375,0.128125,0.046875,0.059375,0.0125
Open Addressing, 2.4125, 0.459375, 0.125, 0.04375, 0.01875, 0.021875
